,02E,02S,02W,02N,08E,08S,08W,08N,14E,14S,14W,14N,20E,20S,20W,20N
26070,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1
26071,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
26072,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0
26073,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1
26074,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
26075,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
26076,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
26077,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1
26078,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1
26079,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
26080,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1
26081,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1
26082,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0
26083,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0
26084,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0
26085,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0
26086,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
26087,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1
26088,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
26089,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1
26090,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1
26091,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0
26092,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1
26093,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0
26094,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1
26095,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1
26096,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
26097,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1
26098,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
26099,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1
26100,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
26101,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0
26102,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1
26103,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1
26104,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0
26105,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
26106,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
26107,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
26108,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
26109,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0
26110,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
26111,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1
26112,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
26113,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0
26114,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
26115,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0
26116,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
26117,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1
26118,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1
26119,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0
26120,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0
26121,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0
26122,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0
26123,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
26124,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1
26125,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1
26126,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1
26127,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0
26128,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0
26129,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
26130,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
26131,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0
26132,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1
26133,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
26134,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
26135,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1
26136,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1
26137,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
26138,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
26139,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0
26140,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
26141,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
26142,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
26143,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0
26144,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
26357,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0
26358,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26359,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0
26360,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
26361,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
26362,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0
26363,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
26364,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0
26365,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26366,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
26367,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
26368,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0
26369,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
26370,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26371,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26372,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26373,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26374,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
26375,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0
26376,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
26377,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0
26378,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0
26379,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
26380,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0
26381,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0
26382,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26383,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26384,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26385,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26386,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
26387,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
26388,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
26389,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0
26390,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
26391,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
26392,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26393,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26394,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0
26395,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26396,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26397,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1
26398,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0
26399,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
26400,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0
26401,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
26402,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0
26403,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
26404,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26405,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
26406,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
26407,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
26408,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
26409,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1
26410,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1
26411,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0
26412,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
26413,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
26414,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
26415,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
26416,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0
26417,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
26418,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
26419,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
26420,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
26421,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0
26422,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0
26423,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
26424,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26425,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
26426,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0
26427,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0
26428,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1
26429,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26430,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26431,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26432,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
26433,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0
26434,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26435,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
26436,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0
26437,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0
26438,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26439,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
26440,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
26441,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0
26442,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26443,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26444,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26445,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26446,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26447,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
26448,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0
26449,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26450,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26451,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26452,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
26453,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
26454,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26455,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26456,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
26457,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
26458,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26459,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
26460,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0
26461,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
26462,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0
26463,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1
26464,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26465,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26466,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
26467,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0
26468,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0
26469,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
26470,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
26471,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
26472,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
26473,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
26474,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26475,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26476,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26477,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26478,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
26479,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
26480,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0
26481,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0
26482,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1
26483,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
26484,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0
26485,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
26486,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0
26487,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
26488,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
26489,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0
26490,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
26491,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0
26492,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
26493,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
26494,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0
26495,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
26496,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
26497,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
26498,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
26499,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
26500,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0
26501,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0
26502,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1
26503,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0
26504,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1
26505,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0
26506,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26507,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
26508,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
26509,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0
26723,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0
26724,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0
26725,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26726,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26727,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0
26728,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0
26729,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26730,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
26731,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26732,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0
26733,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
26734,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26735,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
26736,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0
26737,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26738,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0
26739,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0
26740,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
26741,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
26742,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26743,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
26744,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26745,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1
26746,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26747,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0
26748,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
26749,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0
26750,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
26751,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26752,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0
26753,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26754,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26755,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26756,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0
26757,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0
26758,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26759,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1
26760,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0
26761,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0
26762,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0
26763,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0
26764,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
26765,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0
26766,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0
26767,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0
26768,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0
26769,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0
26770,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0
26771,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0
26772,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26773,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0
26774,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
26775,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0
26776,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0
26777,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1
26778,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0
26779,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0
26780,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1
26781,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
26782,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0
26783,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26784,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26785,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0
26786,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
26787,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26788,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
26789,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26790,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26791,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0
26792,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26793,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0
26794,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0
26795,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26796,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0
26797,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26798,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1
26799,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0
26800,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
26801,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26802,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0
26803,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0
26804,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0
26805,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26806,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
26807,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
26808,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0
26809,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0
26810,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26811,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
26812,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0
26813,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0
26814,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
26815,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0
26816,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
26817,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
26818,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
26819,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0
26820,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0
26821,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
26822,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0
26823,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0
26824,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0
26825,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0
26826,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
26827,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
26828,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0
26829,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
26830,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
26831,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0
26832,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26833,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0
26834,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
26835,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26836,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26837,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26838,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26839,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0
26840,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26841,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26842,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26843,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26844,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26845,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
26846,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
26847,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26848,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0
26849,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26850,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
26851,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
26852,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
26853,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0
26854,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
26855,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0
26856,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26857,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26858,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26859,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
26860,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
26861,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1
26862,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26863,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0
26864,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26865,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0
26866,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26867,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0
26868,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
26869,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
26870,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1
26871,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0
26872,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
26873,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
26874,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
26875,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
27088,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
27089,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
27090,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0
27091,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
27092,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1
27093,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0
27094,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
27095,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
27096,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
27097,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0
27098,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
27099,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
27100,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
27101,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
27102,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
27103,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
27104,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
